Product Mix by Revenue Center,,,,001 - Store1,,,
7/20/2023 6:21:51 AM (UTC-08:00) Pacific Time (US & Canada),,,,1/1/2023 - 3/31/2023,,,
Item Group name 1,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Itemname1,1,0,,1,,8.80%
,Itemname2,0,0,,1,,4.11%
,Itemname3,0,0,,0,,4.00%
,Itemname4,0,1,,1,,3.03%
,Itemname5,0,1,,0,,2.44%
,Itemname6,0,0,,0,,1.37%
,Itemname7,0,0,,0,,0.90%
,Itemname8,1,1,,1,,0.81%
,Itemname9,1,1,,0,,0.45%
,Itemname10,1,1,,0,,0.32%
,Itemname11,1,1,,0,,0.29%
,Itemname12,0,0,,1,,0.29%
,Itemname13,0,1,,1,,0.27%
,Itemname14,1,1,,1,,0.25%
,Itemname15,0,0,,0,,0.25%
,Itemname16,0,1,,1,,0.19%
,Itemname17,1,1,,1,,0.10%
,Itemname18,1,1,,1,,0.01%
,Itemname19,0,1,,0,,0.00%
,Itemname20,1,0,,1,,0.00%
,Itemname21,1,1,,1,,27.86%
Item Group name 2,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Itemname1,0,1,,0,,8.80%
,Itemname2,1,0,,0,,4.11%
,Itemname3,0,0,,1,,4.00%
,Itemname4,0,1,,1,,3.03%
,Itemname5,0,0,,1,,2.44%
,Itemname6,1,0,,0,,1.37%
,Itemname7,0,0,,1,,0.90%
,Itemname8,0,1,,1,,0.81%
,Itemname9,0,1,,1,,0.45%
,Itemname10,1,0,,1,,0.32%
,Itemname11,0,0,,0,,0.29%
,Itemname12,1,1,,1,,0.29%
,Itemname13,0,0,,1,,0.27%
,Itemname14,1,0,,0,,0.25%
,Itemname15,0,1,,1,,0.25%
,Itemname16,0,1,,0,,0.19%
,Itemname17,1,0,,0,,0.10%
,Itemname18,1,1,,0,,0.01%
,Itemname19,0,1,,0,,0.00%
,Itemname20,1,1,,0,,0.00%
,Itemname21,1,1,,0,,27.86%
,Itemname22,0,0,,1,,0.02%
,Itemname23,1,0,,0,,0.02%
,Itemname24,1,1,,1,,0.02%
,Itemname25,1,1,,1,,0.00%
,Itemname26,1,0,,1,,3.20%
Item Group name 1,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Itemname1,0,0,,1,,8.80%
,Itemname2,1,0,,0,,4.11%
,Itemname3,1,1,,1,,4.00%
,Itemname4,0,1,,0,,3.03%
,Itemname5,0,1,,0,,2.44%
,Itemname6,1,0,,0,,1.37%
,Itemname7,1,0,,1,,0.90%
,Itemname8,0,1,,0,,0.81%
,Itemname9,1,1,,1,,0.45%
,Itemname10,0,1,,1,,0.32%
,Itemname11,0,0,,1,,0.29%
,Itemname12,1,1,,0,,0.29%
,Itemname13,0,1,,1,,0.27%
,Itemname14,1,0,,0,,0.25%
,Itemname15,1,1,,0,,0.25%
,Itemname16,1,1,,1,,0.19%
,Itemname17,0,1,,1,,0.10%
,Itemname18,1,0,,0,,0.01%
,Itemname19,1,1,,1,,0.00%
,Itemname20,1,1,,1,,0.00%
,Itemname21,1,0,,0,,27.86%
Item Group name 2,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Itemname1,1,1,,0,,8.80%
,Itemname2,1,1,,0,,4.11%
,Itemname3,0,1,,0,,4.00%
,Itemname4,0,1,,0,,3.03%
,Itemname5,1,1,,1,,2.44%
,Itemname6,1,1,,0,,1.37%
,Itemname7,1,1,,0,,0.90%
,Itemname8,1,0,,1,,0.81%
,Itemname9,0,1,,0,,0.45%
,Itemname10,0,1,,1,,0.32%
,Itemname11,0,1,,1,,0.29%
,Itemname12,0,1,,0,,0.29%
,Itemname13,0,1,,0,,0.27%
,Itemname14,1,0,,0,,0.25%
,Itemname15,0,0,,1,,0.25%
,Itemname16,1,1,,0,,0.19%
,Itemname17,0,0,,0,,0.10%
,Itemname18,0,1,,0,,0.01%
,Itemname19,1,1,,1,,0.00%
,Itemname20,1,1,,1,,0.00%
,Itemname21,1,1,,0,,27.86%
,Itemname22,0,0,,1,,0.02%
,Itemname23,1,0,,1,,0.02%
,Itemname24,0,1,,1,,0.02%
,Itemname25,0,1,,0,,0.00%
,Itemname26,0,1,,0,,3.20%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
